word,count,keep,
mayweather,6903,1,
best,6847,,
he,6810,,
season,6785,1,
time,6774,1,
taking,6742,,
lets,6597,,
lol,6578,,
floyd,6576,1,
out,6467,1,
@verizonwireless,6450,1,
hope,6426,1,
player,6366,1,
wait,6254,1,
would,6178,,
3,6133,,
what,6131,,
can't,6128,,
hours,6114,1,
you're,6113,,
take,6032,,
as,6002,,
via,5961,,
way,5856,,
$10.4,5843,1,
better,5839,1,
?Ùö,5835,,
more,5834,,
football,5816,1,
year,5813,,
was,5805,,
give,5652,,
now,5599,,
los,5540,,
im,5530,,
cheering,5519,1,
too,5447,,
@niallofficial,5433,1,
@superbowl,5430,1,
happy,5419,1,
de,5389,,
them,5336,1,
can,5224,,
rt's,5144,,
wins,5142,1,
when,5123,,
how,5060,,
$20,5039,1,
here,5023,,
lose,5021,1,
#unitedinorange,5018,1,
been,4992,,
#nfl,4917,1,
http://t.c‰Û?,4829,,
hawks,4785,1,
every,4781,1,
off,4774,1,
big,4774,1,
d,4752,,
htt‰Û?,4740,,
beat,4678,1,
morning,4636,1,
some,4618,,
why,4584,,
el,4542,,
really,4532,,
fuck,4495,,
love,4487,1,
put,4477,,
had,4450,,
already,4384,,
#12thman,4346,1,
sea,4333,1,
2013,4320,1,
years,4303,,
their,4269,,
7,4253,1,
paypal,4206,1,
another,4202,,
@thefunnyvines,4176,1,
@nfl,4168,1,
offense,4142,1,
https://t.co/7rtdzbourk,4074,,
our,4060,,
y'all,4059,,
its,4021,,
lost,3982,,
roster,3972,1,
over,3949,1,
1,3942,1,
@defeect,3941,1,
great,3940,1,
http://t.co/9ohj2gqujn,3928,,
mvp,3924,1,
make,3914,,
luck,3893,1,
sherman,3864,1,
man,3836,1,
new,3805,,
prediction,3768,1,
2,3754,1,
home,3744,1,
she,3726,,
w,3659,,
night,3658,1,
ring,3629,1,
even,3613,,
tonight's,3577,,
old,3562,1,
last,3531,1,
pick,3528,1,
amazing,3518,1,
say,3481,,
http://t.‰Û?,3449,,
2014,3445,1,
knows,3436,,
before,3432,,
cause,3425,,
am,3398,,
excited,3340,1,
wow,3334,1,
an,3314,,
seattle's,3239,1,
‰Û?,3168,,
la,3121,,
wilson,3121,1,
teams,3110,1,
bring,3085,,
eric,3070,1,
come,3065,,
well,3033,,
nearly,3032,,
down,3007,,
24,2999,,1
payton,2991,,1
ridiculous,2962,,1
kalee,2944,,1
jersey,2942,,1
buetow,2934,,1
u,2917,,
play,2903,,1
gone,2898,,1
que,2893,,
decker,2892,,1
then,2891,,
right,2868,,
@bbcsporf,2859,,1
than,2851,,
since,2833,,
ass,2831,,
baby,2817,,1
dollar,2803,,1
there,2788,,
that's,2754,,
5,2751,,1
sb,2745,,1
getting,2720,,
could,2717,,
placing,2682,,1
y,2681,,
both,2625,,
still,2618,,
us,2608,,1
today's,2583,,1
richard,2569,,1
playing,2536,,
should,2534,,1
hoy,2534,,
@thesportsphotos,2525,,1
shit,2514,,
en,2504,,
#timetoride,2503,,1
@kevinhart4real,2502,,1
gotta,2488,,
john,2482,,1
ever,2462,,
back,2461,,1
country,2456,,1
watching,2433,,1
people,2426,,1
hate,2408,,1
fox,2401,,1
much,2397,,
10,2385,,1
score,2370,,1
after,2366,,1
victory,2350,,1
show,2322,,1
need,2322,,
these,2286,,
against,2275,,1
sure,2271,,
lynch,2233,,1
city,2227,,1
said,2226,,
did,2226,,
wanna,2211,,
@adamschefter,2205,,1
#seattle,2182,,1
http://‰Û?,2179,,
http://t.co/4mbeq5pv2x,2169,,
@athletestory,2167,,1
though,2161,,
i've,2157,,
any,2155,,
@stillblazingtho,2147,,1
#denver,2136,,1
bonus,2129,,
#gobroncos,2126,,1
photos,2119,,
ya,2118,,
first,2111,,
http://t.co/pwkfvpj1jc,2109,,
simpsons,2108,,1
guys,2108,,1
root,2090,,1
$50 ,2078,,1
live,2071,,1
care,2065,,1
party,2033,,1
corner,2033,,1
russell,2019,,1
guess,1997,,1
points,1996,,1
confident,1993,,1
bow,1971,,1
into,1963,,
bets,1956,,1
@espnnfl,1945,,1
qb,1942,,1
square,1941,,1
be‰Û?,1929,,
27,1912,,1
week,1910,,1
tonight...i,1909,,1
scene,1908,,1
?ÙÔÎ,1883,,
work,1877,,1
let,1860,,
played,1854,,1
